Name,MgO,Al2O3,SiO2,P2O5,Variscite,Aluminum Phosphate,Jadeite,Gregoryite,Revdite,Magnesium Aluminum Phosphate,Periclase,α-quartz,Grumantite,Bayerite,Zeolite,Layered mineral
Centroid,0.16,0.21,0.28,0.27,,1,1,1,,,,,,,1,1
Mg-Corner,0.39,0.14,0.19,0.15,1,1,,,1,1,1,1,1,,,
Al-Corner,0.09,0.51,0.16,0.14,1,,,,,,1,,,1,1,
Si-Corner,0.1,0.12,0.58,0.14,,,1,1,,,,,,,,
P-Corner,0.09,0.11,0.14,0.62,,,,,,,,,,,,
Mg-Axial,0.27,0.18,0.23,0.22,1,,,,1,,,1,1,,,
Al-Axial,0.13,0.36,0.22,0.2,1,1,,,,1,,,,1,1,
Si-Axial,0.13,0.17,0.41,0.21,1,,,,,,,,,,,
P-Axial,0.12,0.16,0.21,0.47,,,,,,,,,,,Analcime?,
Phosphate Free,0.19,0.26,0.42,0,,,,,,,,,,,,
total,,,,,5,3,2,2,2,2,2,2,2,2,,
